,BusStopCode,StopSequence,Code,Direction
0,1670,1,01,1
1,550,2,01,1
2,552,3,01,1
3,553,4,01,1
4,868,5,01,1
5,185,6,01,1
6,186,7,01,1
7,824,8,01,1
8,181,9,01,1
9,325,10,01,1
10,326,11,01,1
11,253,12,01,1
12,254,13,01,1
13,520,14,01,1
14,667,15,01,1
15,668,16,01,1
16,533,17,01,1
17,534,18,01,1
18,535,19,01,1
19,544,20,01,1
20,536,21,01,1
21,537,22,01,1
22,797,23,01,1
23,798,24,01,1
24,799,25,01,1
25,800,26,01,1
26,643,27,01,1
27,644,28,01,1
28,645,29,01,1
29,646,30,01,1
30,647,31,01,1
31,648,32,01,1
32,649,33,01,1
33,650,34,01,1
34,1470,35,01,1
35,1749,36,01,1
0,1749,1,01,2
1,1487,2,01,2
2,651,3,01,2
3,652,4,01,2
4,653,5,01,2
5,654,6,01,2
6,655,7,01,2
7,656,8,01,2
8,657,9,01,2
9,801,10,01,2
10,802,11,01,2
11,803,12,01,2
12,804,13,01,2
13,538,14,01,2
14,539,15,01,2
15,545,16,01,2
16,4072,17,01,2
17,541,18,01,2
18,542,19,01,2
19,543,20,01,2
20,664,21,01,2
21,666,22,01,2
22,519,23,01,2
23,251,24,01,2
24,252,25,01,2
25,749,26,01,2
26,636,27,01,2
27,637,28,01,2
28,632,29,01,2
29,633,30,01,2
30,770,31,01,2
31,554,32,01,2
32,556,33,01,2
33,455,34,01,2
34,1670,35,01,2
0,3876,1,06D,1
1,162,2,06D,1
2,163,3,06D,1
3,164,4,06D,1
4,429,5,06D,1
5,430,6,06D,1
6,431,7,06D,1
7,432,8,06D,1
8,433,9,06D,1
9,434,10,06D,1
10,435,11,06D,1
11,436,12,06D,1
12,437,13,06D,1
13,438,14,06D,1
14,1224,15,06D,1
15,1225,16,06D,1
16,1226,17,06D,1
17,1228,18,06D,1
18,1227,19,06D,1
19,1229,20,06D,1
20,1230,21,06D,1
21,1231,22,06D,1
22,1232,23,06D,1
23,1233,24,06D,1
24,1234,25,06D,1
25,1235,26,06D,1
26,1236,27,06D,1
27,1237,28,06D,1
28,1238,29,06D,1
29,1239,30,06D,1
30,1240,31,06D,1
31,1241,32,06D,1
32,1242,33,06D,1
33,1243,34,06D,1
34,1244,35,06D,1
35,1245,36,06D,1
36,1246,37,06D,1
37,1505,38,06D,1
38,1506,39,06D,1
39,1507,40,06D,1
40,1508,41,06D,1
41,1509,42,06D,1
42,1510,43,06D,1
0,1510,1,06D,2
1,1511,2,06D,2
2,1512,3,06D,2
3,1513,4,06D,2
4,1514,5,06D,2
5,1515,6,06D,2
6,1516,7,06D,2
7,1256,8,06D,2
8,1257,9,06D,2
9,1258,10,06D,2
10,1259,11,06D,2
11,1260,12,06D,2
12,1261,13,06D,2
13,1262,14,06D,2
14,1263,15,06D,2
15,1264,16,06D,2
16,1265,17,06D,2
17,1266,18,06D,2
18,1267,19,06D,2
19,1268,20,06D,2
20,1223,21,06D,2
21,1270,22,06D,2
22,1271,23,06D,2
23,1272,24,06D,2
24,1273,25,06D,2
25,1274,26,06D,2
26,1275,27,06D,2
27,1276,28,06D,2
28,1277,29,06D,2
29,439,30,06D,2
30,440,31,06D,2
31,441,32,06D,2
32,442,33,06D,2
33,443,34,06D,2
34,444,35,06D,2
35,445,36,06D,2
36,446,37,06D,2
37,447,38,06D,2
38,3287,39,06D,2
39,165,40,06D,2
40,3876,41,06D,2
0,1694,1,27,1
1,1487,2,27,1
2,651,3,27,1
3,652,4,27,1
4,653,5,27,1
5,654,6,27,1
6,655,7,27,1
7,656,8,27,1
8,657,9,27,1
9,801,10,27,1
10,802,11,27,1
11,803,12,27,1
12,804,13,27,1
13,538,14,27,1
14,539,15,27,1
15,545,16,27,1
16,4072,17,27,1
17,541,18,27,1
18,542,19,27,1
19,543,20,27,1
20,3603,21,27,1
21,146,22,27,1
22,147,23,27,1
23,148,24,27,1
24,149,25,27,1
25,471,26,27,1
26,472,27,27,1
27,473,28,27,1
28,474,29,27,1
29,2760,30,27,1
30,62,31,27,1
31,4054,32,27,1
32,60,33,27,1
33,747,34,27,1
34,781,35,27,1
35,782,36,27,1
36,594,37,27,1
37,595,38,27,1
38,597,39,27,1
39,1774,40,27,1
0,1774,1,27,2
1,600,2,27,2
2,602,3,27,2
3,603,4,27,2
4,237,5,27,2
5,784,6,27,2
6,746,7,27,2
7,58,8,27,2
8,64,9,27,2
9,282,10,27,2
10,475,11,27,2
11,477,12,27,2
12,478,13,27,2
13,141,14,27,2
14,142,15,27,2
15,143,16,27,2
16,144,17,27,2
17,145,18,27,2
18,533,19,27,2
19,534,20,27,2
20,535,21,27,2
21,544,22,27,2
22,536,23,27,2
23,537,24,27,2
24,797,25,27,2
25,798,26,27,2
26,799,27,27,2
27,800,28,27,2
28,643,29,27,2
29,644,30,27,2
30,645,31,27,2
31,646,32,27,2
32,647,33,27,2
33,648,34,27,2
34,649,35,27,2
35,650,36,27,2
36,1470,37,27,2
37,1694,38,27,2
0,1677,1,28,1
1,166,2,28,1
2,167,3,28,1
3,168,4,28,1
4,169,5,28,1
5,171,6,28,1
6,850,7,28,1
7,851,8,28,1
8,852,9,28,1
9,85,10,28,1
10,86,11,28,1
11,451,12,28,1
12,452,13,28,1
13,2760,14,28,1
14,62,15,28,1
15,4054,16,28,1
16,60,17,28,1
17,696,18,28,1
18,524,19,28,1
19,734,20,28,1
20,735,21,28,1
21,736,22,28,1
22,597,23,28,1
23,596,24,28,1
24,598,25,28,1
25,201,26,28,1
26,1062,27,28,1
27,1063,28,28,1
28,1064,29,28,1
29,1763,30,28,1
0,1763,1,28,2
1,1065,2,28,2
2,1066,3,28,2
3,1067,4,28,2
4,202,5,28,2
5,599,6,28,2
6,601,7,28,2
7,600,8,28,2
8,731,9,28,2
9,732,10,28,2
10,733,11,28,2
11,521,12,28,2
12,697,13,28,2
13,58,14,28,2
14,64,15,28,2
15,282,16,28,2
16,449,17,28,2
17,450,18,28,2
18,92,19,28,2
19,93,20,28,2
20,847,21,28,2
21,848,22,28,2
22,849,23,28,2
23,78,24,28,2
24,157,25,28,2
25,158,26,28,2
26,159,27,28,2
27,160,28,28,2
28,161,29,28,2
29,1677,30,28,2
0,2643,1,89,1
1,1487,2,89,1
2,651,3,89,1
3,652,4,89,1
4,653,5,89,1
5,654,6,89,1
6,655,7,89,1
7,656,8,89,1
8,657,9,89,1
9,2644,10,89,1
10,2645,11,89,1
11,2646,12,89,1
12,2647,13,89,1
13,2648,14,89,1
14,2649,15,89,1
15,2650,16,89,1
16,2651,17,89,1
17,2652,18,89,1
18,3915,19,89,1
19,3916,20,89,1
20,3917,21,89,1
21,3918,22,89,1
22,3919,23,89,1
23,3920,24,89,1
24,3921,25,89,1
25,3922,26,89,1
26,3923,27,89,1
27,3924,28,89,1
28,3925,29,89,1
29,3926,30,89,1
30,3927,31,89,1
31,3928,32,89,1
32,3929,33,89,1
33,3930,34,89,1
34,1969,35,89,1
35,2658,36,89,1
36,2659,37,89,1
37,2660,38,89,1
38,2661,39,89,1
39,2662,40,89,1
40,2663,41,89,1
41,3931,42,89,1
42,2664,43,89,1
43,2665,44,89,1
44,2666,45,89,1
45,2667,46,89,1
46,3932,47,89,1
47,2668,48,89,1
48,3933,49,89,1
49,3934,50,89,1
50,1435,51,89,1
51,1436,52,89,1
52,1437,53,89,1
53,1438,54,89,1
54,1439,55,89,1
55,1440,56,89,1
56,1441,57,89,1
57,2670,58,89,1
0,2670,1,89,2
1,1442,2,89,2
2,1443,3,89,2
3,1444,4,89,2
4,1445,5,89,2
5,1446,6,89,2
6,1447,7,89,2
7,1448,8,89,2
8,3935,9,89,2
9,3936,10,89,2
10,2672,11,89,2
11,3932,12,89,2
12,2673,13,89,2
13,2674,14,89,2
14,2675,15,89,2
15,2676,16,89,2
16,3938,17,89,2
17,2677,18,89,2
18,2678,19,89,2
19,2679,20,89,2
20,2680,21,89,2
21,2681,22,89,2
22,2025,23,89,2
23,2026,24,89,2
24,3939,25,89,2
25,3940,26,89,2
26,3941,27,89,2
27,3942,28,89,2
28,3943,29,89,2
29,3944,30,89,2
30,3945,31,89,2
31,3946,32,89,2
32,3947,33,89,2
33,3948,34,89,2
34,3949,35,89,2
35,3950,36,89,2
36,3951,37,89,2
37,3952,38,89,2
38,3953,39,89,2
39,3954,40,89,2
40,2685,41,89,2
41,2686,42,89,2
42,2687,43,89,2
43,2688,44,89,2
44,2689,45,89,2
45,2690,46,89,2
46,2691,47,89,2
47,2692,48,89,2
48,643,49,89,2
49,644,50,89,2
50,645,51,89,2
51,646,52,89,2
52,647,53,89,2
53,648,54,89,2
54,649,55,89,2
55,650,56,89,2
56,1470,57,89,2
57,2643,58,89,2
0,4219,1,108,1
1,1234,2,108,1
2,1235,3,108,1
3,1236,4,108,1
4,1237,5,108,1
5,1238,6,108,1
6,1239,7,108,1
7,1240,8,108,1
8,1241,9,108,1
9,1242,10,108,1
10,1243,11,108,1
11,1244,12,108,1
12,1245,13,108,1
13,1246,14,108,1
14,4220,15,108,1
15,1247,16,108,1
16,1248,17,108,1
17,1249,18,108,1
18,4221,19,108,1
19,4222,20,108,1
20,4223,21,108,1
21,4224,22,108,1
22,4225,23,108,1
23,4226,24,108,1
24,4227,25,108,1
25,4228,26,108,1
26,4229,27,108,1
27,4230,28,108,1
28,4231,29,108,1
29,4232,30,108,1
30,4233,31,108,1
31,4234,32,108,1
32,4235,33,108,1
33,4236,34,108,1
34,4237,35,108,1
35,4238,36,108,1
36,4239,37,108,1
37,4240,38,108,1
0,4240,1,108,2
1,4241,2,108,2
2,4242,3,108,2
3,4243,4,108,2
4,4244,5,108,2
5,4245,6,108,2
6,4246,7,108,2
7,4247,8,108,2
8,4248,9,108,2
9,4249,10,108,2
10,4250,11,108,2
11,4251,12,108,2
12,4252,13,108,2
13,4253,14,108,2
14,4254,15,108,2
15,4255,16,108,2
16,4256,17,108,2
17,4257,18,108,2
18,4258,19,108,2
19,4259,20,108,2
20,1252,21,108,2
21,1253,22,108,2
22,1254,23,108,2
23,4260,24,108,2
24,1255,25,108,2
25,1256,26,108,2
26,1257,27,108,2
27,1258,28,108,2
28,1259,29,108,2
29,1260,30,108,2
30,1261,31,108,2
31,1262,32,108,2
32,1263,33,108,2
33,1264,34,108,2
34,1265,35,108,2
35,1266,36,108,2
36,4219,37,108,2
0,3050,1,94,1
1,4122,2,94,1
2,1933,3,94,1
3,163,4,94,1
4,164,5,94,1
5,429,6,94,1
6,430,7,94,1
7,431,8,94,1
8,432,9,94,1
9,433,10,94,1
10,434,11,94,1
11,435,12,94,1
12,436,13,94,1
13,437,14,94,1
14,438,15,94,1
15,1224,16,94,1
16,1225,17,94,1
17,1226,18,94,1
18,1228,19,94,1
19,1227,20,94,1
20,1229,21,94,1
21,1230,22,94,1
22,1231,23,94,1
23,1232,24,94,1
24,3053,25,94,1
25,3054,26,94,1
26,3055,27,94,1
27,3056,28,94,1
28,3057,29,94,1
29,3058,30,94,1
30,3059,31,94,1
31,3060,32,94,1
32,3061,33,94,1
33,3062,34,94,1
34,3063,35,94,1
35,3064,36,94,1
36,4102,37,94,1
37,3065,38,94,1
38,3066,39,94,1
39,2704,40,94,1
40,2705,41,94,1
41,2706,42,94,1
42,4051,43,94,1
43,2707,44,94,1
44,3051,45,94,1
0,3051,1,94,2
1,2737,2,94,2
2,4052,3,94,2
3,2738,4,94,2
4,3052,5,94,2
5,2739,6,94,2
6,3067,7,94,2
7,3068,8,94,2
8,4111,9,94,2
9,3069,10,94,2
10,3070,11,94,2
11,3071,12,94,2
12,3072,13,94,2
13,3073,14,94,2
14,3074,15,94,2
15,3075,16,94,2
16,3076,17,94,2
17,3077,18,94,2
18,3078,19,94,2
19,3079,20,94,2
20,3080,21,94,2
21,1268,22,94,2
22,1223,23,94,2
23,1270,24,94,2
24,1271,25,94,2
25,1272,26,94,2
26,1273,27,94,2
27,1274,28,94,2
28,1275,29,94,2
29,1276,30,94,2
30,1277,31,94,2
31,439,32,94,2
32,440,33,94,2
33,441,34,94,2
34,442,35,94,2
35,443,36,94,2
36,444,37,94,2
37,445,38,94,2
38,446,39,94,2
39,447,40,94,2
40,3287,41,94,2
41,165,42,94,2
42,3050,43,94,2
0,3430,1,45,1
1,410,2,45,1
2,515,3,45,1
3,516,4,45,1
4,762,5,45,1
5,763,6,45,1
6,754,7,45,1
7,347,8,45,1
8,392,9,45,1
9,393,10,45,1
10,726,11,45,1
11,727,12,45,1
12,95,13,45,1
13,96,14,45,1
14,212,15,45,1
15,213,16,45,1
16,458,17,45,1
17,640,18,45,1
18,690,19,45,1
19,691,20,45,1
20,692,21,45,1
21,693,22,45,1
22,694,23,45,1
23,695,24,45,1
24,233,25,45,1
25,234,26,45,1
26,235,27,45,1
27,236,28,45,1
28,228,29,45,1
29,594,30,45,1
30,595,31,45,1
31,597,32,45,1
32,3429,33,45,1
0,3429,1,45,2
1,600,2,45,2
2,602,3,45,2
3,603,4,45,2
4,237,5,45,2
5,229,6,45,2
6,230,7,45,2
7,231,8,45,2
8,232,9,45,2
9,216,10,45,2
10,217,11,45,2
11,218,12,45,2
12,219,13,45,2
13,220,14,45,2
14,221,15,45,2
15,222,16,45,2
16,214,17,45,2
17,215,18,45,2
18,531,19,45,2
19,532,20,45,2
20,396,21,45,2
21,397,22,45,2
22,3459,23,45,2
23,753,24,45,2
24,760,25,45,2
25,761,26,45,2
26,503,27,45,2
27,504,28,45,2
28,399,29,45,2
29,3430,30,45,2
0,1696,1,07,1
1,61,2,07,1
2,4054,3,07,1
3,560,4,07,1
4,561,5,07,1
5,234,6,07,1
6,235,7,07,1
7,236,8,07,1
8,228,9,07,1
9,594,10,07,1
10,595,11,07,1
11,597,12,07,1
12,596,13,07,1
13,598,14,07,1
14,882,15,07,1
15,883,16,07,1
16,885,17,07,1
17,886,18,07,1
18,887,19,07,1
19,888,20,07,1
20,889,21,07,1
21,890,22,07,1
22,891,23,07,1
23,892,24,07,1
24,893,25,07,1
25,895,26,07,1
26,896,27,07,1
27,897,28,07,1
28,1781,29,07,1
0,1781,1,07,2
1,902,2,07,2
2,903,3,07,2
3,905,4,07,2
4,906,5,07,2
5,907,6,07,2
6,908,7,07,2
7,909,8,07,2
8,910,9,07,2
9,911,10,07,2
10,912,11,07,2
11,884,12,07,2
12,913,13,07,2
13,599,14,07,2
14,601,15,07,2
15,600,16,07,2
16,602,17,07,2
17,603,18,07,2
18,238,19,07,2
19,229,20,07,2
20,230,21,07,2
21,231,22,07,2
22,4087,23,07,2
23,58,24,07,2
24,63,25,07,2
25,1696,26,07,2
0,3289,1,99,1
1,3253,2,99,1
2,2857,3,99,1
3,93,4,99,1
4,847,5,99,1
5,848,6,99,1
6,3254,7,99,1
7,3255,8,99,1
8,3256,9,99,1
9,3257,10,99,1
10,634,11,99,1
11,158,12,99,1
12,3258,13,99,1
13,3259,14,99,1
14,3260,15,99,1
15,819,16,99,1
16,3261,17,99,1
17,3262,18,99,1
18,3263,19,99,1
19,3264,20,99,1
20,3265,21,99,1
21,3266,22,99,1
22,112,23,99,1
23,3267,24,99,1
24,113,25,99,1
25,429,26,99,1
26,430,27,99,1
27,3268,28,99,1
28,3269,29,99,1
29,3270,30,99,1
0,3270,1,99,2
1,3271,2,99,2
2,3272,3,99,2
3,447,4,99,2
4,3287,5,99,2
5,117,6,99,2
6,114,7,99,2
7,3273,8,99,2
8,115,9,99,2
9,3274,10,99,2
10,3275,11,99,2
11,3276,12,99,2
12,3277,13,99,2
13,3278,14,99,2
14,3279,15,99,2
15,3280,16,99,2
16,820,17,99,2
17,3281,18,99,2
18,3282,19,99,2
19,3283,20,99,2
20,169,21,99,2
21,635,22,99,2
