,Code,Cost,CostInt,Enterprise,Frequency
0,01,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,10 -15 phút/chuyến
0,06D,9000VNĐ/lượt,9000,Xí nghiệp xe Buýt Cầu Bươu,50 phút/chuyến
0,27,7000VNĐ/lượt,7000,Công ty cổ phần xe điện,7 - 8 -10  phút/chuyến
0,28,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,10  - 20 phút/chuyến
0,89,9000VNĐ/lượt,9000,Xí nghiệp Xe buýt nhanh BRT Hà Nội,20 phút/chuyến
0,108,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Hà Nội,20 - 25 - 30 - 35 - 40 phút/chuyến
0,94,8000VNĐ/lượt,8000,Công ty CPVT Newway,20-25 phút/chuyến
0,45,7000VNĐ/lượt,7000,"Chi nhánh công ty TNHH Bắc Hà
",15 - 20 phút/chuyến
0,07,8000VNĐ/lượt,8000,Công ty cổ phần xe điện,9 - 10 - 20 phút/chuyến
0,99,7000VNĐ/lượt,7000,Xí Nghiệp Xe Khách Nam,22 phút/ chuyến
0,29,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,11 - 12 -15 phút/chuyến
0,08B,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,20 phút/Chuyến
0,22A,7000VNĐ/lượt,7000,Xí nghiệp xe Buýt Cầu Bươu,7- 15 phút/chuyến
0,10B,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Yên Viên,25 -30 phút/chuyến
0,08ACT,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,10 - 15 phút/chuyến
0,47B,8000VNĐ/lượt,8000,Công ty CPVT Newway,20 - 25 phút/chuyến
0,48,7000VNĐ/lượt,7000,Công ty CPVT Newway,18- 20 phút/chuyến
0,56A,8000VNĐ/lượt,8000,Công ty cổ phần xe điện,15-20-30 phút/chuyến
0,34,7000VNĐ/lượt,7000,Công ty cổ phần xe điện,10 - 15 phút/chuyến
0,10A,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Yên Viên,10 -15- 20 phút/chuyến
0,21A,7000VNĐ/lượt,7000,Công ty CPVT & DV Liên Ninh,7 - 10 - 15 phút/chuyến
0,25,8000VNĐ/lượt,8000,Công ty cổ phần xe điện,11 - 14 - 15- 20 - 25 phút/chuyến
0,46,8000VNĐ/lượt,8000,"Công ty cổ phần Vận tải thương mại và Du lich Đông Anh
",10 - 15 phút/chuy?n
0,54,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Yên Viên,15 phút/chuyến
0,13,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,16 phút/chuyến
0,102,9000VNĐ/lượt,9000,Xí nghiệp Xe buýt nhanh BRT Hà Nội,20 - 30 phút/chuyến
0,104,7000VNĐ/lượt,7000,Trung tâm Tân Đạt,20- 30 phút/chuyến
0,58,9000VNĐ/lượt,9000,"Công ty TNHH Du lịch dịch vụ xây dựng Bảo Yến
",10 - 15 phút/chuyến
0,91,8000VNĐ/lượt,8000,Xí nghiệp xe Buýt Cầu Bươu,20 phút/ chuyến
0,12,7000VNĐ/lượt,7000,Xí Nghiệp Xe Buýt Hà Nội,12-15-20 phút/chuyến
0,107,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Thăng Long,15 - 20 phút/chuyến
0,92,9000VNĐ/lượt,9000,Xí Nghiệp Buýt 10-10,20- 25 phút/ lượt
0,50,7000VNĐ/lượt,7000,Xí Nghiệp Buýt 10-10,17 phút/chuyến
0,93,9000VNĐ/lượt,9000,Xí Nghiệp Xe Buýt Yên Viên,22 - 25 phút/chuyến
0,06E,9000VNĐ/lượt,9000,Xí nghiệp xe Buýt Cầu Bươu,40 - 50 phút/chuyến
0,105,7000VNĐ/lượt,7000,Xí nghiệp Xe buýt nhanh BRT Hà Nội,20 - 25- 30 phút/chuyến
0,74,9000VNĐ/lượt,9000,Chi nhánh công ty LD vận chuyển quốc tế Hải Vân,10 phút/chuyến
0,53B,7000VNĐ/lượt,7000,Trung tâm Tân Đạt,27phút/chuyến
0,65,8000VNĐ/lượt,8000,"Công ty TNHH Du lịch dịch vụ xây dựng Bảo Yến
",10 - 15 - 20 phút/chuyến
0,64,9000VNĐ/lượt,9000,Chi nhánh công ty LD vận chuyển quốc tế Hải Vân,15-20 phút/chuyến
0,59,7000VNĐ/lượt,7000,"Công ty TNHH Du lịch dịch vụ xây dựng Bảo Yến
",10 - 15 phút/chuyến
