,BusStopCode,FleetOver,Lat,Lng,Name
0,1670,01,21.048159,105.878495,(A) BX Gia Lâm - Tuyến 01
1,550,"01,10B,22A,42,43,54",21.0497,105.883467,549 Nguyễn Văn Cừ (cột trước)
2,552,"01,03,100,10A,10B,17,22A,34,42,43,48,54,65",21.04555,105.875283333,Cty Cầu 5 Thăng Long - 307 Nguyễn Văn Cừ
3,553,"01,03,100,10A,10B,17,22A,34,42,43,48,54,65",21.042352,105.870446,135 Nguyễn Văn Cừ
4,868,"01,14,14CT,22A,31",21.0411166667,105.849616667,E3.1 Điểm trung chuyển Long Biên
5,185,"01,36,36CT",21.0372,105.847016667,50 Hàng Cót
6,186,"01,36,36CT",21.0310666667,105.8472,28 Đường Thành
7,824,"01,36,36CT",21.0266,105.847616667,Bệnh viện Phụ sản TW - Đối diện số 4 Triệu Quốc Đạt
8,181,"01,34,38,40",21.026183,105.846402,Đối diện tháp Hà Nội - Hai Bà Trưng (cạnh 56 Hai Bà Trưng)
9,325,"01,32,38,40",21.025549,105.84142,Tổng công ty Đường sắt Việt Nam - 116 Lê Duẩn
10,326,"01,03,11,32,40,49",21.023285,105.841429,Ga Hà Nội - 120 Lê Duẩn
11,253,"01,09,09CT,30,41,49",21.019127,105.837982,78-80A Khâm Thiên (Đối diện 71)
12,254,"01,09,09CT,30,41,49",21.019363,105.834084,274-276 Khâm Thiên
13,520,"01,02,09,09CT",21.01581,105.828275,142-144 Nguyễn Lương Bằng
14,667,"01,02,09,09CT",21.0111,105.825333333,Gò Đống Đa - Tây Sơn
15,668,"01,02,09,09CT,18,21A,21B,44,51,84",21.0071333333,105.823133333,290 Tây Sơn
16,533,"01,02,19,21A,21B,27,44",20.9999166667,105.815233333,94 Nguyễn Trãi
17,534,"01,02,05,19,21A,21B,27,29,44,60B",20.9959333333,105.80925,322 Nguyễn Trãi
18,535,"01,02,05,105,19,21A,21B,27,29,60A",20.9935833333,105.8058,386 Nguyễn Trãi - Cục Sở hữu trí tuệ
19,544,"01,02,105,19,21A,22B,22C,27,39",20.9904666667,105.801383333,Bách hóa Thanh Xuân - đường Nguyễn Trãi
20,536,"01,02,105,19,21A,22B,22C,27,39",20.988163,105.798207,204-206 Nguyễn Trãi (Gần ngã 3 Nguyễn Trãi - Lương Thế Vinh )
21,537,"01,02,105,19,21A,22B,22C,27,39",20.985883,105.794981,Công ty CP Công trình GT 873 - Nguyễn Trãi
22,797,"01,02,105,19,21A,22B,22C,27,39",20.983446,105.791662,Số 10 Trần Phú - Siêu Thị Việt Long
23,798,"01,02,103,105,19,21A,22B,22C,27,33,39,85",20.980401,105.7879,Học viện công nghệ bưu chính viễn thông - Trần Phú (Hà Đông)
24,799,"01,02,103,105,106,19,21A,22B,22C,27,33,85",20.979275,105.786454,100 Trần Phú (Hà Đông)
25,800,"01,02,103,105,106,19,21A,22B,22C,27,33",20.9754833333,105.78155,Khách sạn Sông Nhuệ (148 Trần Phú- Hà Đông)
26,643,"01,02,21A,27,33,57,89",20.972531,105.777525,Số 8 Quang Trung - Hà Đông
27,644,"01,02,21A,27,33,57,89",20.969518,105.77386,96 Quang Trung - Hà Đông
28,645,"01,02,21A,27,33,57,89",20.96755,105.771383333,Nhà thi đấu Hà Đông - 182 Quang Trung (Hà Đông)
